n,assumed_p,successes,wilson_low,wilson_high,interval_width,interpretation
1,0.1,0,0.0000,0.7935,0.7935,very_wide
1,0.5,0,0.0000,0.7935,0.7935,very_wide
1,0.9,1,0.2065,1.0000,0.7935,very_wide
6,0.1,1,0.0301,0.5635,0.5335,wide
6,0.5,3,0.1876,0.8124,0.6248,very_wide
6,0.9,5,0.4365,0.9699,0.5335,wide
18,0.1,2,0.0310,0.3280,0.2970,moderate
18,0.5,9,0.2903,0.7097,0.4194,wide
18,0.9,16,0.6720,0.9690,0.2970,moderate
20,0.1,2,0.0279,0.3010,0.2732,moderate
20,0.5,10,0.2993,0.7007,0.4014,wide
20,0.9,18,0.6990,0.9721,0.2732,moderate
30,0.1,3,0.0346,0.2562,0.2216,tighter_descriptive
30,0.5,15,0.3315,0.6685,0.3369,moderate
30,0.9,27,0.7438,0.9654,0.2216,tighter_descriptive
50,0.1,5,0.0435,0.2136,0.1701,tighter_descriptive
50,0.5,25,0.3664,0.6336,0.2671,moderate
50,0.9,45,0.7864,0.9565,0.1701,tighter_descriptive
